ID,Title,Year,Latitude,Longitude,Description,URL
1,The Rocky Mountains,1863,40.75,-109.5596,"Painted during Bierstadt's first major expedition to the American West in 1859, this monumental work depicts the Wind River Range in Wyoming Territory.","https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Albert_Bierstadt_-_The_Rocky_Mountains%2C_Lander%27s_Peak.jpg/800px-Albert_Bierstadt_-_The_Rocky_Mountains%2C_Lander%27s_Peak.jpg
"
2,Among The Sierra Nevada Mountains,1868,37.87,-119.5383,"Created following Bierstadt's 1863 journey to California, this luminous canvas captures the grandeur of the Sierra Nevada range.
",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Bierstadt_-_Among_the_Sierra_Nevada_Mountains_-_1868.jpg/800px-Bierstadt_-_Among_the_Sierra_Nevada_Mountains_-_1868.jpg
3,A Storm in the Rocky Mountains,1866,39.55,-105.7821,"Commissioned by publisher James McHenry, this dramatic composition showcases Bierstadt's mastery of atmospheric perspective and theatrical lighting.","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Albert_Bierstadt_-_A_Storm_in_the_Rocky_Mountains%2C_Mt._Rosalie_-_Google_Art_Project.jpg/800px-Albert_Bierstadt_-_A_Storm_in_the_Rocky_Mountains%2C_Mt._Rosalie_-_Google_Art_Project.jpg
"
4,Valley of the Yosemite,1864,37.75,-119.5332,"Painted after Bierstadt's first visit to Yosemite Valley in 1863, this work helped introduce Eastern audiences to California's natural wonders.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Albert_Bierstadt_-_Valley_of_the_Yosemite_-_Google_Art_Project.jpg/800px-Albert_Bierstadt_-_Valley_of_the_Yosemite_-_Google_Art_Project.jpg
5,Emigrants Crossing the Plains,1867,41.31,-105.5886,This work captures the arduous journey of westward migration across the Great Plains.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Emigrants_Crossing_the_Plains%2C_or_The_Oregon_Trail_%28Albert_Bierstadt%29%2C_1869.jpg/800px-Emigrants_Crossing_the_Plains%2C_or_The_Oregon_Trail_%28Albert_Bierstadt%29%2C_1869.jpg
6,Kern River Valley California,1871,35.7500,-118.4200,"The scene features three horses and two riders in a valley with the Sierra Nevada mountains in the background, likely inspired by the area near the Kern River in California.",https://upload.wikimedia.org/wikipedia/commons/8/8f/Bierstadt_Albert_Kern-s_River_Valley_California.jpg
7,"View from the Wind River Mountains, Wyoming",1860,43.1300,-109.6100,The painting was produced following Bierstadt's 1859 travels with the Lander Expedition into the then-Nebraska Territory (now Wyoming).,https://upload.wikimedia.org/wikipedia/commons/c/c6/Albert_Bierstadt_-_View_from_the_Wind_River_Mountains%2C_Wyoming.jpg
8,Looking Down Yosemite Valley,1865,37.72,119.678,"One of Bierstadt's most celebrated works, this panoramic view looks westward down Yosemite Valley from above, capturing the dramatic granite cliffs and waterfalls.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Looking_Down_Yosemite-Valley.jpg/3840px-Looking_Down_Yosemite-Valley.jpg
9,Yosemite Falls,1863,37.7550,-119.5972,"These paintings served as early, influential images of the American West, promoting the natural wonders of the Yosemite area during the period it was established as a protected reserve.",https://upload.wikimedia.org/wikipedia/commons/e/e8/Albert_Bierstadt_-_Yosemite_Falls_%28c_1863%29.jpg
10,"Weeping Oaks, Clear Creek",1880,29.51,-95.09,"Large live oak trees draped in Spanish moss line the quiet banks of Clear Creek. Soft light filters through the branches, reflecting on the still water and creating a peaceful, intimate Southern landscape.",https://upload.wikimedia.org/wikipedia/commons/8/89/Weeping_Oaks%2C_Clear_Creek%2C_California.png
11,"The Rocky Mountains, Landers Peak",1863,42.833,-108.750,"This scene depicts the majestic Wind River Range in Wyoming, celebrating the grandeur of the American West during the 19th-century era of westward exploration.",https://upload.wikimedia.org/wikipedia/commons/4/45/Albert_Bierstadt_-_The_Rocky_Mountains%2C_Lander%27s_Peak.jpg
12,"Lake Tahoe, California",1867,38.9333,-120.0333,"The scenes feature rugged, steep Sierra Nevada mountains in the background and dense, uncultivated forests on the shore, emphasizing the grand scale of nature.",https://upload.wikimedia.org/wikipedia/commons/b/b6/Albert_Bierstadt_-_Lake_Tahoe%2C_California.jpg
13,"The Grizzly Giant Sequoia, Mariposa Grove, California",1873,37.5035,-119.6007,"A Romantic-style oil painting capturing the massive scale of one of Yosemite's most famous trees. It highlights the tree's thick, textured bark, enormous girth, and serene forest surroundings, reflecting the 19th-century awe for the American West's natural wonders.",https://upload.wikimedia.org/wikipedia/commons/2/24/The_Grizzly_Giant_Sequoia%2C_Mariposa_Grove%2C_California_LACMA_53.30_%282_of_2%29.jpg
14,"Estes Park, Longs peak",1876,40.2549,-105.6169,"This painting captures the iconic view of Longs Peak, a landmark celebrated by 19th- and 20th-century artists for its dramatic alpine scenery and its role in inspiring early American landscape art in the Rocky Mountains.",https://upload.wikimedia.org/wikipedia/commons/a/a3/Albert_Bierstadt%2C_Estes_Park_and_Longs_Peak%2C_circa_1876.jpg
15,Sunrise in the Sierras,1872,36.80,118.57,"The painting contrasts radiant, warm-toned, illuminated peaks against a moody, dark foreground, showcasing the dramatic, romanticized American West.",https://upload.wikimedia.org/wikipedia/commons/9/99/AlbertBierstadt-Sunrise_in_the_Sierras_1872.jpg
16,"Geyser, Yellowstone Park",1881,44.4605,110.8281,"The painting captures the Old Faithful geyser in the act of erupting, utilizing a vertical composition that emphasizes the height of the steam and water.",https://upload.wikimedia.org/wikipedia/commons/6/64/Albert_Bierstadt_-_Geyser%2C_Yellowstone_Park_-_47.1253_-_Museum_of_Fine_Arts.jpg
17,Winter in Yosemite,1872,37.7459,-119.5332,"The artwork depicts a tranquil winter landscape, featuring dramatic snowy mountains, frozen bodies of water, and snowy, dense forests.",https://upload.wikimedia.org/wikipedia/commons/0/06/Albert_Bierstadt_-_Winter_in_Yosemite.jpg
18,"North Dome, Yosemite Valley",1889,37.7569,119.5600,"North Dome is a prominent granite dome on the north rim of Yosemite Valley in Yosemite National Park, California. The paintings often feature it alongside Royal Arches and facing Half Dome.",https://upload.wikimedia.org/wikipedia/commons/6/61/Albert_Bierstadt_-_North_Dome%2C_Yosemite_Valley_%281889%29.jpg
19,Niagara Falls,1869,43.0827,79.0689,"A romanticized, dramatic depiction of the famous waterfall, emphasizing its raw power and majestic scale.",https://upload.wikimedia.org/wikipedia/commons/a/a0/Albert_Bierstadt_-_Niagara_Falls.jpg
20,"Merced River, Yosemite Valley",1866,37.7174,-119.6586,"It features the tranquil Merced River reflecting towering granite cliffs like El Capitan and Cathedral Rocks, often with grazing horses or Indigenous figures in the foreground, showcasing a dramatic contrast between detailed, shadowed foregrounds and a luminous, misty, golden-lit background.",https://upload.wikimedia.org/wikipedia/commons/d/d6/Bierstadt_Albert_Merced_River_Yosemite_Valley.jpg